Country_Name,Country Code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
Brunei Darussalam,BRN,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,-2.34
Bhutan,BTN,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.458817312
Botswana,BWA,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.280147493,6.242117247,-7.652310203,8.563631748,6.048316367,4.831542795,9.322201516,4.421040759
Central African Republic,CAF,-2.489450101,4.464782649,3.616488016,-5.397469236,5.994991726,0.908086104,3.639311187,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,4.112756215,-36.04707885,1.010329129
Canada,CAN,5.123122409,1.68837419,2.801868066,1.925317457,3.13878826,3.163129624,2.621781688,2.008311014,1.175426275,-2.711471142,3.374254224,2.960102474,1.922863575,2.003508233,2.439306108
Central Europe and the Baltics,CEB,3.932318425,3.001027008,3.21193596,4.39696035,5.519219343,4.869991705,6.500602301,6.407360697,3.614776654,-3.625722083,2.064500478,3.139420976,0.525124126,1.247572144,2.791754883
Switzerland,CHE,3.946102508,1.446594802,0.143394375,0.049708149,2.842948357,3.038305348,4.012785508,4.140348369,2.277240085,-2.129618511,2.953816768,1.804553915,1.124629311,1.768830561,1.889476944
Channel Islands,CHI,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,
Chile,CHL,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708903,5.839640585,5.457130617,4.226190625,1.894049024
China,CHN,8.42928216,8.298374411,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593,7.68380997,7.268460929
Cote d'Ivoire,CIV,-2.068400057,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254789,10.7065041,9.218578723,8.546467852
Cameroon,CMR,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129,5.926964959
Congo. Rep.,COG,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.779940953
Colombia,COL,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806,4.936289501,4.552500992
Comoros,COM,10.84807498,2.332936465,2.324779259,2.104101953,1.919602379,2.837407764,2.646899868,0.800152799,0.400266855,1.949999978,2.199999982,2.600000088,2.999999972,3.499999994,2.061639469
Cabo Verde,CPV,14.28486883,2.231654493,5.250891246,4.176259302,10.19707261,6.912457988,7.983750447,15.17068797,6.650520523,-1.270403675,1.466912709,3.968783812,1.081918311,1.045244023,2.799846803
Costa Rica,CRI,1.8008246,1.076396317,2.902185091,6.404510783,4.259452774,5.886377313,8.779640959,7.935340515,2.731620422,-1.015718862,4.954320527,4.517746474,5.167582778,3.437273971,3.502352231
Caribbean small states,CSS,4.060890526,2.021275674,3.88261608,6.130335144,4.081756623,3.825780743,7.037562545,3.134500777,1.275359545,-3.880274752,-0.000411266,0.92906027,1.105739962,1.17045294,1.128357974
Cuba,CUB,5.915865714,3.182230186,1.42859081,3.791364597,5.770878841,11.20171308,12.0658059,7.262137034,4.116828059,1.449116717,2.388332912,2.802964336,3.014390465,2.686032552,
Curacao,CUW,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,
Cyprus,CYP,5.673380231,3.576056688,3.220606243,2.788196717,4.379398998,3.863109461,4.516829031,4.893239014,3.62071524,-2.042198118,1.390644058,0.261283105,-2.384531145,-5.356745491,-2.255259091
Czech Republic,CZE,4.294136059,3.051521283,1.64694964,3.601842545,4.947456257,6.4422623,6.87654427,5.529266339,2.710955571,-4.841785296,2.295089687,1.966612632,-0.900306692,-0.528170821,1.978154045
Germany,DEU,2.962045368,1.695471452,0,-0.709906172,1.169970413,0.706713948,3.700159572,3.260535297,1.082315404,-5.618860435,4.079933305,3.660000155,0.405170675,0.297847586,1.599770392
Djibouti,DJI,0.416213954,2.047764413,2.61856229,3.199959365,3.8264761,3.169601169,4.799864683,5.100061387,5.799962619,5.032627058,3.486917489,4.467514526,4.842379573,4.999907255,6.000194324
Dominica,DMA,0.375310954,0.473103034,-1.753160254,7.687213049,3.250144236,-0.088242377,2.9296875,6.356736243,7.047279215,-1.166666667,0.674536256,0,-1.256281407,0.593723494,3.878583474
Denmark,DNK,3.746890518,0.823156075,0.466298252,0.390091339,2.638951051,2.437029516,3.796742609,0.824417532,-0.717955926,-5.087936061,1.625132918,1.152142525,-0.655226089,-0.486209585,1.088419565
Dominican Republic,DOM,5.656604877,1.809229488,5.788207316,-0.25335881,1.31195822,9.262750074,10.67115484,8.47462478,3.143711457,0.935781295,8.3021528,2.820884491,2.629506208,4.777741912,7.340878366
Algeria,DZA,2.200000692,4.612523744,5.599999981,7.200000018,4.300000003,5.900000002,1.699999998,3.399999998,2,1.599979654,3.600169066,2.800018252,3.299991384,2.8,3.80000001
East Asia & Pacific (developing only),EAP,7.509944108,6.708268428,7.886950344,8.774672633,8.955595271,9.712975473,10.8055161,12.2173418,8.427350489,7.557181499,9.832525716,8.456189203,7.451217943,7.157046818,6.745723199
East Asia & Pacific (all income levels),EAS,4.500246364,2.355785447,3.437905198,3.984452262,4.943488918,4.483864657,5.239478368,6.166506194,2.993790454,0.528765583,7.011028738,4.005105524,4.306201396,4.226740968,3.577623051
Europe & Central Asia (developing only),ECA,6.162897288,-0.147574793,6.022641184,6.055495237,9.250167246,7.514288226,7.780073666,6.459076853,3.28412721,-4.562146204,6.36993445,6.547264852,2.103256518,3.846676995,2.256485434
Europe & Central Asia (all income levels),ECS,4.206490713,2.193522916,1.633796132,1.725347762,3.05368854,2.582270461,3.774877626,3.536079133,0.838603024,-4.456280037,2.478664537,2.198177372,0.019638747,0.566348114,1.430879973
Ecuador,ECU,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.553575531,3.67498214
Egypt. Arab Rep.,EGY,5.368005967,3.535225678,2.3704891,3.193454737,4.091919177,4.471352758,6.842960581,7.088015962,7.152051032,4.685445186,5.139126089,1.816646645,2.193878354,2.106724617,2.228791014
Euro area,EMU,3.873827665,2.150437891,1.006868764,0.703811475,2.275330716,1.697332679,3.24743342,3.055103369,0.477536607,-4.542604463,2.097142502,1.631058932,-0.859378713,-0.296106865,0.887767555
Eritrea,ERI,-3.141985774,8.75543519,3.005429218,-2.655515842,1.451735534,2.57444953,-0.969216929,1.42682206,-9.783030037,3.87650156,2.194190545,8.679799936,,,
Spain,ESP,5.289093179,4.001069225,2.879762121,3.187571476,3.166746501,3.723102943,4.174119116,3.768895263,1.115972755,-3.57381203,0.013786544,-1.000080488,-2.620308512,-1.671971848,1.360770612
Estonia,EST,10.56808194,6.328672643,6.07641942,7.416210542,6.294727029,9.373736784,10.27186523,7.748203062,-5.419463511,-14.72440239,2.462773326,7.583125148,5.182578141,1.567795821,2.906537167
Ethiopia,ETH,6.073217492,8.301306322,1.514725693,-2.161359721,13.57260315,11.81876594,10.83472707,11.456167,10.78852168,8.802553202,12.55053834,11.17829624,8.647811635,10.58227004,10.27918702
European Union,EUU,3.888480968,2.235620491,1.350460859,1.331546808,2.526899448,2.096248851,3.344818004,3.083120489,0.450056751,-4.391319997,2.094053214,1.78821608,-0.43580726,0.242754988,1.395066114
Fragile and conflict affected situations,FCS,1.638509377,2.594471322,-0.009095142,-2.459336351,11.23364815,6.297385893,5.551413054,5.275471936,4.845787527,3.565151037,5.107490537,-9.368213227,14.03406665,2.088505742,-0.932618093
Finland,FIN,5.634847452,2.580792075,1.680325089,1.993984087,3.926057175,2.779955031,4.055197444,5.184800809,0.720668487,-8.269036558,2.992337502,2.570817745,-1.42618936,-1.121195942,-0.404700297
Fiji,FJI,-1.699999246,1.999998847,3.200000591,0.999998968,5.300000995,0.699999968,1.85248247,-0.850653611,1.032794285,-1.386037503,2.954673156,-3.050276112,1.634990386,5.351393054,6.944576313
France,FRA,3.875162259,1.954449425,1.118456892,0.81953167,2.786424111,1.607713814,2.3749469,2.361498873,0.195294766,-2.941341055,1.965657375,2.079229175,0.182693034,0.656485763,0.179566377
Faroe Islands,FRO,,,,,,,,,,,,,,,
Micronesia. Fed. Sts.,FSM,4.5632095,1.747193334,0.599899534,1.825861414,-3.231262222,2.160556312,-0.163398426,-2.059676851,-2.559644172,0.961955354,2.530578819,2.050567151,0.564168715,-3.561518835,-3.402898057
Gabon,GAB,-1.882966396,2.135233421,-0.249033169,2.247330012,0.689543058,3.900705466,-3.634637434,6.486620089,-3.030191697,-1.195859535,9.135591749,7.091753341,5.251076921,5.638414048,4.314877126
United Kingdom,GBR,3.79884463,2.75803547,2.493914266,3.336664571,2.488458121,2.996358264,2.661822553,2.586036583,-0.466876766,-4.19194486,1.54017665,1.972398563,1.179056123,2.159903871,2.940253234
Georgia,GEO,1.838341787,4.805452136,5.473838085,11.05810212,5.857329773,9.599640804,9.383276297,12.34399988,2.314047429,-3.775774557,6.253028626,7.199999063,6.182117328,3.319930795,4.766442435
Ghana,GHA,3.700000115,4,4.499999699,5.199999984,5.59999999,5.900003953,6.399912419,4.346819153,9.149799094,4.845756132,7.899740293,14.04600263,9.292511869,7.312525021,3.985865624
Guinea,GIN,2.503060561,3.658346471,5.164609466,1.24860126,2.340117313,2.997272561,2.496728569,1.757682351,4.936932709,-0.280192286,1.936217423,3.90876145,3.944111989,2.299999238,0.399998601
Gambia. The,GMB,5.500000174,5.800000236,-3.250000307,6.869999803,7.049999934,-0.941675912,1.124099702,3.631025533,5.734641946,6.449695858,6.524632607,-4.328668868,5.862230311,4.780907872,0.877460551
Guinea-Bissau,GNB,5.426987367,2.188906815,-0.985177525,0.568510176,2.76140199,4.265425195,2.309750124,3.204668686,3.204910483,3.314407697,4.432021672,9.028655594,-2.233317539,0.32869042,2.540286296
Equatorial Guinea,GNQ,18.21377995,63.37987543,19.46283403,13.95525032,37.99872686,16.74870061,7.704917606,12.25217091,9.908375613,-4.534718957,-3.825021882,1.939084068,5.760498708,-6.512923046,-0.304094544
Greece,GRC,4.205155374,3.843332937,3.922871842,5.794531264,5.060992565,0.599142055,5.65243372,3.273746857,-0.335172557,-4.300733667,-5.479037108,-9.132494153,-7.300493935,-3.198239636,0.653982658
Grenada,GRD,1.872901282,-2.023900041,3.43732353,9.463973431,-0.647450316,13.27306387,-4.017708784,6.150583245,0.949050949,-6.613909911,-0.511266938,0.764824541,-1.155295307,2.352301955,5.684821218
Greenland,GRL,7.10159701,1.269035533,-0.971177945,-0.3796267,2.667513496,1.979585524,4.468980892,5.513059779,0.345909084,-5.411986294,,,,,
Guatemala,GTM,3.608868745,2.332576319,3.866624226,2.530790344,3.15208189,3.260110599,5.379776896,6.304056628,3.28107989,0.526043034,2.869487492,4.162049143,2.969857204,3.69758565,4.249773525
Guam,GUM,,,,,,,,,,,,,,,
Guyana,GUY,-1.376727515,2.249999297,1.051000768,-1.00525525,3.293924791,-1.956911156,5.129609355,7.020313451,1.976647058,3.31862417,4.370869417,5.437126058,4.816458917,5.22162589,
High income,HIC,4.047918788,1.548325254,1.566393522,2.206796939,3.43629733,2.855848575,3.224587968,2.880448121,0.46165389,-3.474180722,3.021019595,1.914784302,1.369750789,1.467703922,1.733451326
Hong Kong SAR. China,HKG,7.663485913,0.560802766,1.65665506,3.056328301,8.700095212,7.388143132,7.032583323,6.464748708,2.127864186,-2.45911375,6.767610559,4.814675724,1.700302663,3.072174041,2.501239094
Honduras,HND,5.748148174,2.723193273,3.754337861,4.547038052,6.232302961,6.050599222,6.567243552,6.188327167,4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.085214961
Heavily indebted poor countries (HIPC),HPC,2.594378408,4.240173317,3.508190818,4.451935415,5.497505512,6.109318087,5.919878495,6.408041279,5.845307163,4.216981654,5.658781747,4.610167484,5.55436252,5.618970497,5.791440709
Croatia,HRV,3.767496172,3.434404365,5.246474529,5.557907035,4.082810688,4.163840897,4.785120878,5.15000498,2.0533655,-7.383783,-1.701249763,-0.281262662,-2.187429172,-1.063921096,-0.360434269
Haiti,HTI,0.875239923,-1.042697313,-0.261498231,0.362430598,-3.511333077,1.791686574,2.252992255,3.343279015,0.843944329,3.083247688,-5.497792337,5.523737754,2.885096051,4.247935032,2.74985019
Hungary,HUN,4.227410248,3.849141606,4.480838685,3.843903617,4.937714375,4.354623581,3.806359977,0.42581997,0.839345785,-6.55907806,0.743197936,1.757501673,-1.688895103,1.889768022,3.67222002
Indonesia,IDN,4.920064597,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.579211168,5.024664957
Isle of Man,IMN,5.338364279,5.376166334,5.868974884,6.327778883,5.2,5.9,7.7,7.5,,,,,,,
India,IND,3.840991157,4.823966264,3.803975321,7.860381475,7.922936613,9.284831507,9.263958898,9.801360337,3.890957062,8.479786622,10.25996299,6.63835345,5.081417925,6.899217233,7.286253239
Not classified,INX,,,,,,,,,,,,,,,
Ireland,IRL,10.22875255,5.833502806,5.936680162,3.842196192,4.40513207,6.334125561,6.309729023,5.542750825,-2.162410157,-5.63836661,0.398613832,2.588084299,0.151117554,1.434302453,5.199368895
Iran. Islamic Rep.,IRN,5.845527476,2.392172712,8.07882928,8.639298397,4.336665979,4.208690356,5.704251918,9.116167365,0.923695792,2.314710619,6.577374352,3.749690486,-6.608687255,-1.911575057,4.343343402
Iraq,IRQ,1.406474812,2.305316984,-6.900180223,-33.10083802,54.15777462,4.400617192,10.15819958,1.377598148,8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,6.572160298,-2.118268061
Iceland,ISL,4.723636719,3.762633493,0.45335828,2.741825062,8.220327655,5.960358031,4.20637027,9.492910314,1.478781618,-4.681171587,-3.588668391,1.98812081,1.182931611,3.895970473,1.826660454
Israel,ISR,8.942023062,0.241579639,-0.068274778,1.177134261,5.114051717,4.389914718,5.801808363,6.135078996,3.059407048,1.268661904,5.517022935,5.030189584,2.87991428,3.25118147,2.554423053
Italy,ITA,3.710149687,1.772804793,0.250778363,0.152649208,1.583269861,0.949616237,2.006404926,1.47412116,-1.049820233,-5.481380161,1.710581858,0.586819403,-2.817938597,-1.747412985,-0.443878226
Jamaica,JAM,0.878703548,1.344929564,1.997290944,3.666317593,1.3237251,0.893797936,2.89912535,1.431954037,-0.72230904,-4.425210552,-1.488944185,1.723211104,-0.603505605,0.547910509,0.687750718
Jordan,JOR,4.239817478,5.27137064,5.792385509,4.163751728,8.562737394,8.163780219,8.093331161,8.175719022,7.23240848,5.47658105,2.336830301,2.560808799,2.651203349,2.829210769,3.096330275
Japan,JPN,2.257495302,0.355461715,0.289548451,1.685111722,2.360730113,1.302728144,1.692904245,2.192186233,-1.041636034,-5.526976489,4.652030154,-0.452724839,1.753689775,1.613366906,-0.1045
Kazakhstan,KAZ,9.800000002,13.5,9.800000002,9.3,9.6,9.699999999,10.7,8.9,3.3,1.199999999,7.3,7.5,5,6,4.4
Kenya,KEN,0.599695392,3.779906496,0.54685953,2.932475546,5.104299776,5.906666082,6.472494299,6.850729771,0.232282746,3.306939815,8.402277064,6.11161346,4.554912438,5.687231313,5.328057786
Kyrgyz Republic,KGZ,5.426673766,5.321584347,-0.017353042,7.030296039,7.026859686,-0.175548166,3.102898691,8.542874896,8.401615957,2.8862947,-0.471566848,5.956274377,-0.088150193,10.91546938,3.603036144
Cambodia,KHM,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.261322743,7.480003653,7.071525352
Kiribati,KIR,9.506586095,0.703251456,0.577604814,4.03025063,3.172490639,-0.174077721,-4.507931358,7.51644384,2.754238139,-0.665021325,-0.500317782,2.740007765,2.810013544,2.97279334,3.7
St. Kitts and Nevis,KNA,5.018927797,4.978157191,1.83858797,-2.548811423,4.605144277,9.258697024,5.885213676,2.832380958,4.128683688,-5.598328101,-3.227010925,1.695115944,-1.225697239,5.820111758,6.895092535
Korea. Rep.,KOR,8.831278205,4.525319497,7.432433614,2.933207053,4.899851507,3.92368744,5.176133982,5.463406088,2.829214457,0.707518483,6.496785169,3.681704667,2.292382426,2.896220054,3.310147565
Kosovo,KSV,,26.97391784,-0.700948289,5.980145596,2.612126758,6.033229748,4.503031756,7.286082986,2.644818653,3.341665533,3.309574839,4.619578328,2.808457654,3.440464709,1.218533857
Kuwait,KWT,4.694581988,0.729026414,3.000000009,17.32000038,10.7621943,10.07595099,7.52024923,5.991661246,2.479843833,-7.076102616,-2.367061944,9.628436082,6.626388081,1.149038847,-1.622033474
Latin America & Caribbean (developing only),LAC,4.457808121,0.761248923,1.917489699,1.728360573,4.986350444,3.65685002,5.009134103,5.099467889,3.605675487,-1.638323665,6.057501713,4.288187795,3.219517228,2.846603325,1.744647532
Lao PDR,LAO,5.798782326,5.751412882,5.918749073,6.066996905,6.35769548,7.107568369,8.619266209,7.596828801,7.824902763,7.501774913,8.526905517,8.038652681,8.024211032,8.471097672,7.515270123
Lebanon,LBN,1.34406653,3.953516126,3.373876548,3.23739038,7.478802317,2.702340944,1.602773165,9.4040866,9.098076674,10.30091265,7.996086279,2.004586303,2.2,0.9,2
Liberia,LBR,28.61593335,2.918717298,3.762764999,-30.14522252,2.620605256,5.28197573,8.043162022,9.534892858,7.146939285,5.300099075,6.099944692,8.199998146,7.99445127,8.703875016,0.701141636
Libya,LBY,3.679213293,-1.762878168,-0.958849381,13.01600108,4.461629982,11.87072893,6.500547227,6.352316994,2.66735579,-0.790141832,5.021289739,-62.07591958,104.4867889,-13.55238921,-24
St. Lucia,LCA,4.420562002,-3.228761803,0.045405165,4.783465553,8.215291505,-0.787011779,8.222634829,0.621412899,2.793276853,-0.453632841,-1.716772429,0.701817188,-1.05627146,0.138580863,0.456089138
Latin America & Caribbean (all income levels),LCN,3.856520766,0.831208877,0.353454075,1.883330094,5.788632348,4.410636838,5.354997627,5.277965574,3.495857993,-1.57583397,5.655109934,4.53209028,3.08700328,2.766587533,1.334636036
Least developed countries: UN classification,LDC,3.971524073,5.733282724,4.240451622,5.371643379,6.543065873,7.150390627,6.491382475,7.411309107,6.320183949,4.568575087,5.599562594,4.143349485,5.459369666,5.208105848,5.766550601
Low income,LIC,1.843171394,4.802481193,2.893511044,3.475872196,6.207240843,6.609031903,5.627948297,6.675448031,5.489128872,5.167413575,6.714957543,6.479959868,6.696936853,5.761754901,6.315991905
Liechtenstein,LIE,3.220190998,-0.733091477,-0.993919345,-1.937566245,3.039173512,4.828074952,8.644969847,3.325962956,1.798087686,-1.157481822,,,,,
Sri Lanka,LKA,6,-1.545372866,3.964656494,5.940269077,5.445061279,6.241748044,7.668291898,6.79682612,5.950088146,3.538912053,8.015959406,8.404701706,9.144576757,3.395721879,4.457926406
Lower middle income,LMC,4.203362387,4.373886598,3.835013288,6.281222372,7.88243457,6.798514727,7.440276324,7.695760954,4.542805168,5.049730071,7.515742839,5.469489932,4.881925241,5.751147349,5.678872733
Low & middle income,LMY,5.398359158,3.384981299,4.760008074,5.52601226,7.601411018,7.011743775,7.944400997,8.49532735,5.508828527,3.41434029,7.904102991,6.069852232,5.216817279,5.24830833,4.846961092
Lesotho,LSO,5.140339514,4.22920334,0.532376117,4.691154436,2.291777907,2.704500225,4.307444107,4.733465098,5.733473897,3.357932789,7.891144168,4.04854461,4.993621287,4.461031071,3.639082752
Lithuania,LTU,3.83166714,6.524430875,6.760749533,10.53856477,6.550083027,7.727407918,7.406444355,11.08695439,2.628077961,-14.81416332,1.639819649,6.044910029,3.835604582,3.544744983,3.032469985
Luxembourg,LUX,8.441852354,2.152855377,3.620782281,1.397642591,4.411116963,3.216432925,5.110594745,8.395647185,-0.843120826,-5.376988795,5.676656248,2.565685444,-0.847072985,4.346679537,4.069293381
Latvia,LVA,5.40086984,6.457260341,7.111753025,8.424604182,8.341507485,10.70157261,11.90219148,9.96049931,-3.597639193,-14.34892637,-3.78028072,6.211500744,4.005234456,3.021631081,2.359205218
Macao SAR. China,MAC,5.699999959,2.900000001,8.903344706,12.5858589,26.88199281,8.558640553,14.42230849,14.32868064,3.39096755,1.712459559,27.49896423,21.29126163,9.165844611,10.65739543,-0.35295269
St. Martin (French part),MAF,,,,,,,,,,,,,,,
Morocco,MAR,1.592567672,7.551951989,3.316035915,6.316967049,4.80186641,2.97851241,7.759852155,2.705774383,5.923277686,4.243714325,3.815707029,5.245771777,3.009938403,4.725335083,2.417081182
Monaco,MCO,3.910231911,2.187729373,1.026496836,1.087535488,2.470486213,1.895413784,5.049346202,14.58244232,10,,,,,,
Moldova,MDA,2.100000277,6.100000042,7.800000106,6.600000426,7.410062486,7.487164565,4.798521976,3.067943527,7.764846405,-5.989579853,7.094071762,6.414350738,-0.700000351,9.396806409,4.6
Madagascar,MDG,4.760065099,6.017824403,-12.67378814,9.784892131,5.257003604,4.602899965,5.022607002,6.240578451,7.128513539,-4.013860583,0.263110856,1.454392168,3.027536044,2.263499584,3.315779034
Maldives,MDV,,,5.733744145,14.18146689,14.10006629,-8.604050305,20.65432574,10.79088236,12.47675618,-5.511438942,5.96267337,8.70933893,2.496489996,4.69979355,6.480585849
Middle East & North Africa (all income levels),MEA,5.504376346,2.051079344,2.399869673,5.237262742,8.068060237,5.718127931,6.787929774,6.156122823,5.184832866,1.537636025,5.071621312,3.754972047,4.458192632,2.232228444,2.545863421
